"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"AR14-2",9.64963967707268,FALSE,31.12,14.66,2.23,NA,1.88,2.08,NA,4.62,7.48,74.76,223.89,130.46,24.79,1.34,NA,1.5,2.34,NA,1.77,NA,2.93,1.13,2.92,9.39,NA,4.01
"IND135",9.50752488292527,FALSE,30.09,19.67,2.75,42.98,1.24,1.45,1.05,6.15,8.94,89.36,236.97,155.2,26.64,1.23,1.02,1.31,2.64,20.65,1.96,0.58,2.92,3.01,2.31,12.18,2.23,3.99
"SM4709-12",9.2487012515018,FALSE,31.51,22.16,3.74,NA,3.87,1.4,NA,7.23,6.92,69.18,250.2,88.42,27.74,1.93,NA,1.29,2.41,13.33,1.06,0.86,2.45,2.98,2,13.61,1.06,4.28
"AR42-4",9.09073335264922,FALSE,33.8,16.98,3.69,NA,2.71,2.17,NA,5.83,7.42,74.18,239.58,102.47,25.01,1.35,NA,1.2,2.57,NA,2.18,NA,2.84,3,2.56,10.73,NA,3.96
"SM4744-1",8.97208372858524,FALSE,33.13,15.67,3.23,NA,3.49,1.17,NA,5.22,7.45,74.51,247.73,86.69,22.09,1.63,NA,1.52,2.47,NA,2.39,NA,2.8,2.97,2.64,9.96,NA,4.31
"PER597",8.86944457109014,FALSE,29.42,17.81,2.26,44.33,1.8,1.75,1.11,5.42,7.61,76.07,271.03,210.13,35.24,1.5,1.02,1.17,2.58,16.66,1.64,0.52,2.91,3.02,2.44,11.1,1.04,3.98
"GM10062-1",8.56545262436595,FALSE,29.42,21.35,2.92,43.84,3.99,1.45,1.05,6.54,7.56,75.62,249.74,87.14,28.4,1.45,1.03,1.16,2.66,22.31,1.64,0.78,2.77,3.01,2.24,13.39,1.59,4.01
"GM6127-7",8.10871794259617,FALSE,28.56,17.91,2.06,44.17,1.42,2.59,1.05,5.42,7.55,75.45,241.2,161.6,27.26,1.33,1.02,1.38,2.55,17.53,1.55,0.8,2.76,3,2.82,11.03,1.28,3.84
"GM10048-1",7.94734361925477,FALSE,29.5,20.96,2.96,44.61,2.33,3.83,1.29,6.57,8.35,83.5,274.37,195.5,24.98,1.49,1.02,1.14,2.65,17.73,1.86,0.49,2.84,3.03,2.21,13.33,1.05,4.22
"CM2766-5",7.90583750955767,FALSE,29.84,21.36,3.16,43.81,3.78,1.64,1.04,6.61,7.69,76.86,220.4,74.36,21.35,1.33,1.02,1.14,2.64,18.6,1.82,0.8,2.68,3.01,2.01,17.27,1.06,3.92
"GM3937-67",7.61913578289327,FALSE,29.39,23.23,3.36,43.77,3.1,1.91,1.06,7.06,7.81,78.09,229.12,75.92,25.96,1.52,1.02,1.29,2.66,20.46,1.21,0.84,2.93,2.96,2.37,14.46,1.09,4.08
"GM6126-29",7.44998889741183,FALSE,30.81,14.5,2.37,44.83,2.9,NA,1.1,4.74,7.01,70.08,249.59,123.7,24.31,1.28,1.02,NA,2.36,13.9,1.59,0.62,2.89,3.01,2.98,9.32,1.09,3.98
"GM4883-3",7.38974245613978,FALSE,31.62,20.46,3.72,45.23,2.27,2.09,1.18,6.7,8.12,81.15,224.99,144.56,28.13,1.7,1.03,1.15,2.43,18.88,1.29,0.89,2.61,3,2.24,12.85,1.05,3.88
"GM6125-1",7.17852799555287,FALSE,30.67,17.33,2.85,42.34,2.86,1.96,1.05,5.38,7.03,70.3,224.15,106.81,20.57,1.22,1.02,1.12,2.42,17.76,1.49,0.58,2.87,1.04,2.63,10.99,0.97,4.08
"CUB74",6.8834834822575,FALSE,29.83,18.64,2.81,NA,0.27,0.98,1.19,5.71,6.32,63.16,250.66,257.41,28.91,1.25,1.01,1.19,2.4,18.8,1.56,0.7,2.88,3.02,2.75,12.55,1.01,4.18
"SM4830-1",6.41115964918882,FALSE,33.41,12.59,3.12,NA,3.22,1.46,NA,4.45,6.58,65.79,236.17,80.32,25.87,1.19,NA,1.36,2.38,15.71,1.85,0.63,3.03,2.96,2.97,8.18,1.02,3.84
"GM3518-66",5.91968185112231,FALSE,28.04,19.45,2.42,42.78,3.29,NA,1.07,5.41,8.55,85.46,257.13,100.74,24.45,1.3,1.03,NA,2.49,19.87,2.09,0.98,2.86,2.7,2.49,11.6,1.1,4.08
"AM1549-6",5.5863791432611,FALSE,30.96,15.05,2.76,44.61,2.72,3.59,1.13,4.63,4.44,44.44,233.46,98.35,19.58,1.42,1.02,1.2,2.54,16.56,1.2,0.71,2.85,2.32,2.3,9.32,1.16,3.9
"SM4772-1",5.55087792971545,FALSE,31.99,17.89,3.64,NA,3.74,1.73,NA,5.94,5.84,58.38,242.82,72.59,29.2,1.88,NA,1.16,2.5,11.23,1.42,0.63,2.6,2.99,2.24,10.98,1.04,3.84
"COL1107",5.41092706305025,FALSE,26.03,25.44,2.8,43.87,2.79,NA,1.19,6.53,6.93,69.31,289.44,161.16,25.51,1.34,1.02,NA,2.47,23.97,1.4,0.79,2.7,2.99,2.44,15.87,1.09,4.37
"GM6127-13",5.15662210956025,FALSE,29.58,13.57,2.05,42.71,0.27,1.99,1.06,4.03,7.45,74.48,241.45,233.43,28.39,1.18,1.02,1.14,2.13,12.78,1.29,0.84,2.33,3.03,3.1,8.57,1,3.86
"AR17-18",4.95743690038785,FALSE,29.94,17.86,2.96,NA,2.81,1.63,NA,5.59,7.95,79.51,222.05,96.86,23.23,1.33,NA,1.26,2.09,17.72,2.12,0.6,2.74,3.01,3.25,10.98,1.02,4.16
"CR13-8",4.76914895086615,FALSE,30.84,18.01,3.34,NA,3.13,1.14,NA,5.76,7.68,76.79,279.06,155.51,27.54,2.01,NA,1.43,2.65,15.07,2.25,0.62,2.84,2.95,2.47,11.26,1.04,3.98
"GM4781-2",4.75443633931292,FALSE,30.12,20.87,3.58,42.22,3.15,2.02,1.09,6.45,7.92,79.22,221.13,88.93,26.71,2.01,1.09,1.26,2.56,18.74,1.31,1.01,2.59,1.18,2.23,12.66,1.2,3.89
"GM10057-19",3.95500369327316,FALSE,31.46,13.5,2.88,NA,3.57,1.34,NA,4.44,8.09,80.86,250.89,106.14,25.01,1.43,NA,1.45,2.64,15.43,2.19,0.65,2.8,3.01,3.36,8.68,1.06,3.95
"VEN77",3.86495867242554,FALSE,27.59,18.89,2.42,43.86,1.38,1.29,1.05,5.51,7.43,74.31,328.56,267.75,30.32,1.11,1.02,1.14,2.62,18.9,2.06,1.31,2.77,3.01,2.32,11.72,1.04,4.48
"SM4522-13",3.85482648721987,FALSE,30.23,19.87,3.56,42.01,3.24,1.42,1.11,6.12,6.86,68.62,255.45,102,21.66,1.86,1.08,1.24,2.52,19.24,1.14,0.83,2.67,3,2.19,12.16,1.04,4.27
"GM11901-10",3.83163768334353,FALSE,30.77,18.27,3.48,NA,4.32,1.32,NA,5.81,5.22,52.15,234.52,70.33,27.9,1.31,NA,1.1,2.42,18.91,1.1,0.79,2.86,2.99,2.36,11.69,1.08,4.02
"SM4844-10",3.81685116826982,FALSE,32.01,16.64,3.65,NA,2.46,1.32,NA,5.63,6.64,66.39,236.88,119.81,23.55,1.82,NA,1.08,2.11,13.45,1.62,0.6,2.72,3,3.15,10.35,1.02,3.9
"SM3536-44",3.56624544297401,FALSE,27.83,20.28,2.79,42.21,3.25,NA,1.07,5.67,8.71,87.08,247.72,111.83,25.33,1.29,1.03,NA,2.61,21.29,1.38,0.53,2.85,2.07,2.22,12.17,1.12,3.98
"SM4376-3",3.20268502079262,FALSE,28.08,17.84,2.5,NA,3.79,6.07,NA,5.25,6.7,67.05,242.99,72.86,21.98,1.07,NA,1.1,2.56,17.56,1.7,0.63,2.78,2.97,2.12,10.95,1.01,4.32
"AR9-12",3.18723658147866,FALSE,34.07,10,3.32,NA,3.01,1.79,NA,3.23,4.89,48.86,219.42,106.24,24.62,1.72,NA,1.51,2.41,NA,1.72,NA,2.86,1.18,3.1,6.72,NA,3.71
"SM4517-30",3.16924362217901,FALSE,30.02,21.29,3.82,44.29,3.94,1.43,1.06,6.54,7.99,79.95,253.49,85.46,25.05,1.82,1.08,1.27,2.45,17.76,1.32,2.29,2.53,2.86,2.16,13.4,1,4.23
"BRA334",2.92427896644382,FALSE,30.28,12.19,2.35,NA,1.05,1.16,NA,3.87,6.8,67.99,203.28,155.46,25.72,1.64,NA,1.12,2.23,18.28,1.83,1,2.67,2.99,2.83,7.76,1.06,3.7
"ARG73",2.73606152441874,FALSE,30.57,18.8,3.64,NA,2.04,1.44,NA,6.04,7.75,77.49,229.41,141.29,24.23,1.82,NA,1.14,2.04,16.52,1.19,1.08,2.43,2.99,2.52,11.62,1.01,3.65
"SM4573-27",2.5956512188568,FALSE,29.35,20.56,3.52,43.5,3.87,5.34,1.05,5.97,5.47,54.67,245.44,84.37,19.54,1.52,1.02,1.16,2.63,18.63,1.99,0.69,2.9,3.01,2.17,13.24,1.08,4.18
"SM4834-11",2.4389298451397,FALSE,28.28,22.28,3.45,NA,3.01,1.4,NA,6.48,7.95,79.46,255.86,102.97,19.18,1.65,NA,1.21,2.36,29.27,1.39,0.64,2.41,3,2.1,14.02,1.03,4.23
"C39",2.30791816820964,FALSE,29.26,18.6,3.18,45.05,3.17,1.75,1.1,5.78,7.51,75.07,199.88,65.39,27.33,1.45,1.01,1.35,2.41,17.93,1.78,0.46,2.68,2.84,2.64,11.78,1.21,3.56
"PAR98",1.82305859962899,FALSE,29.96,19.92,3.73,43.6,2.06,1.06,1.07,6.02,7.26,72.57,279.75,231.48,29,2.11,1.55,1.24,2.65,17.47,1.66,0.69,2.89,3.02,2.32,12.52,1.1,4.29
"SM4516-40",1.80777913695175,FALSE,29.89,19.2,3.58,43.82,3.56,2.02,1.06,5.8,6.89,68.9,188.79,70.94,21.33,1.49,1.01,1.16,2.36,16.22,1.26,0.91,2.62,1.18,2.32,12.12,1.21,3.79
"HMC1P12_is_HMC1",1.53805119842303,FALSE,30.58,17.62,3.59,43.49,3.39,1.78,1.05,5.63,6.53,65.29,216.25,61.88,23.56,1.61,1.02,1.19,2.59,19.1,1.67,0.63,2.9,3,2.22,10.53,1.02,3.88
"CR138",1.25116419814046,FALSE,29.11,18.37,3.22,44.98,3.36,NA,1.06,5.27,7.43,74.28,237.15,96.19,23.8,1.53,1.02,NA,2.66,18.3,1.42,0.7,2.89,3.02,2.26,11.36,1.09,3.77
"GM10055B-1",1.22078970306243,FALSE,29.61,21.75,4,45.39,3.74,1.48,1.14,6.84,6.27,62.68,232.8,65.73,21.87,1.83,1.08,1.25,2.55,17.24,1.67,0.54,2.83,3.01,2.34,14.05,1.64,3.78
"PTR19",1.17873313556951,FALSE,26.4,14.74,1.6,NA,0.85,1.47,NA,4.21,8.89,88.92,281.95,233.99,27.01,1.09,NA,1.14,2.32,13.92,1.76,0.61,2.9,2.79,2.79,9.34,1.05,4.29
"GM10055A-2",1.14799820763689,FALSE,29.22,20.63,3.67,44.13,3.43,2.09,1.05,6.28,7.23,72.31,219.43,85.38,22.84,1.51,1.02,1.3,2.57,19.65,1.63,0.6,2.82,1.64,2.28,13.05,2.84,3.76
"VEN208",1.03062552668722,FALSE,29.9,19.98,3.82,42.8,3.96,1.75,1.18,6.03,8.66,86.64,239.47,75.23,19.63,1.39,1.01,1.23,2.65,17.57,1.89,0.57,2.75,3,2.72,12.59,1.41,3.89
"ECU183",0.777751833905047,FALSE,28.04,18.32,2.88,44.59,2.84,3.45,1.29,5.36,7.42,74.23,220.49,72.32,26.85,1.32,1.02,1.37,2.45,17.36,1.92,0.6,2.74,1.19,2.43,11.73,0.97,3.8
"GM7672-8",0.431056615193681,FALSE,30.48,16.85,3.56,42.99,3.61,2.25,1.05,5.27,7,69.96,238.12,80.95,29.03,1.71,1.02,1.65,2.6,12.75,2.28,0.6,2.89,1.04,2.51,10.6,1.04,3.77
"GM10057-15",0.390580987281412,FALSE,30.12,14.95,3.1,NA,3.31,1.48,NA,4.6,8.5,85.04,230.67,113.07,26.71,1.79,NA,1.18,2.22,13.74,1.45,0.9,2.56,2.99,3.03,9.4,1.06,3.94
"COL1468",0.374385879199313,FALSE,23.85,30.02,3.45,NA,3.5,1.14,NA,8.06,7.85,78.51,261.75,99.5,22.03,1.65,NA,1.11,2.43,25.52,1.09,0.7,2.47,2.95,1.91,18.77,1.05,4.31
"GM6125-13",-0.0490834529926669,FALSE,29.71,14.63,2.95,44.76,1.59,1.37,1.06,4.58,7.7,77.02,230.28,183.33,22.77,1.36,1.02,1.08,2.41,14.34,1.22,1.09,2.45,3.01,2.65,9.15,1.04,3.74
"AM1495-1",-0.260048337721404,FALSE,29.32,17,3.25,NA,3.92,5.56,NA,5.31,5.46,54.56,201.91,100.47,25.54,1.63,NA,1.31,2.43,NA,1.75,NA,2.77,3,2.87,10.74,NA,4.02
"PAN139",-0.306266875413716,FALSE,28.53,22.32,3.9,44.46,3.05,1.3,1.06,6.44,9.32,93.19,223.98,105.03,26.22,1.94,1.27,1.16,2.49,22.41,1.27,1,2.78,2.93,2.05,13.78,1.2,4.07
"PER546",-0.505113382030067,FALSE,28.51,15.32,2.69,NA,0.92,1.63,NA,4.61,6.42,64.19,257.48,201.29,31.55,1.31,NA,1.05,2.5,17.45,2.09,0.58,2.8,2.18,2.7,9.96,3.09,3.7
"SM4850-18",-0.508348067107078,FALSE,28,18.89,3.13,43.33,3.81,5.39,1.1,5.26,7.73,77.29,250.21,94.93,19.81,1.35,1.01,1.3,2.63,20.13,2.02,0.71,2.95,2.99,2.42,11.86,1.06,4.15
"SM4754-27",-0.535431489465116,FALSE,30.81,15.57,3.58,NA,3.59,2.29,NA,5,5.88,58.76,273.28,67.15,24.96,1.79,NA,1.44,2.69,11.66,1.31,0.85,3.12,2.98,2.7,9.84,1.04,4.22
"GM6126-22",-0.539027144298724,FALSE,29.59,14.01,2.86,NA,-0.06,2.01,1.13,4.26,7.61,76.08,279.98,297.32,35.25,1.43,1.03,1.26,2.48,17.03,1.86,0.56,2.73,2.99,2.56,9.17,1.08,3.82
"AR40-3",-0.627201324008466,FALSE,29.69,12.54,2.65,NA,3.28,2.23,NA,4.15,7.02,70.19,215.69,98,25.01,1.19,NA,1.91,2.56,13.95,2.43,0.67,3.07,1.04,3.67,8.19,1.04,4.01
"PER347",-0.796376099731182,FALSE,27.46,18.61,2.92,NA,1.61,1.14,NA,5.58,7.37,73.74,233.42,164.57,21.94,1.29,NA,1.05,2.48,19.15,1.64,0.85,2.7,3.01,2.29,11.76,2.48,3.77
"GM7672-9",-0.927189249188104,FALSE,29.54,16.51,3.33,43.5,3.1,1.04,1.04,4.98,7.19,71.89,196.2,73,21.92,1.6,1.02,1.43,2.54,13.63,2.01,0.76,2.89,3,2.42,10.16,0.98,3.48
"SM4848-17",-0.940976567598314,FALSE,27.82,19.52,3.23,NA,3.53,1.38,NA,5.72,8.8,87.99,227,87.48,24.66,1.51,NA,1.29,2.42,17.89,1.52,0.61,2.66,2.12,2.08,12.19,1.04,4.24
"SM4838-12",-0.988329393185925,FALSE,30.92,13.87,3.38,NA,2.94,1.82,NA,4.54,7.72,77.15,228.62,91.16,30.59,1.64,NA,1.42,2.52,17.61,1.51,0.8,2.73,3.03,2.91,8.82,1.07,3.74
"C243",-1.15429938756542,FALSE,30.39,17.42,3.83,45.72,3.5,1.61,1.04,5.55,6.8,67.96,221.52,66.48,23.18,1.47,1.01,1.34,2.61,17.59,2.46,0.62,2.89,3,2.48,10.9,1.32,3.8
"CR63",-1.32761128522893,FALSE,27.27,17.65,2.75,NA,2.81,1.18,NA,5.27,7.93,79.27,257.34,109.01,29.79,1.11,NA,1.03,2.42,24.47,1.57,0.69,2.69,3,2.45,11.16,2.85,4.04
"GM11933-1",-1.51249819712122,FALSE,32.84,10.62,3.58,NA,3.58,1.75,NA,3.69,5.8,57.96,238.99,84.76,22.04,1.81,NA,1.11,2.27,13.84,1.7,0.63,2.69,2.97,2.9,6.85,1.02,3.9
"CG489-34",-1.5576608214104,FALSE,25.37,18.94,2.31,NA,1.17,1.45,NA,5.41,7.79,77.91,271.66,204.48,22.71,1.34,NA,1.11,2.46,17.99,1.68,0.73,2.86,2.78,2,11.9,1.05,4.12
"SM4715-20",-1.79011117006763,FALSE,27.64,21.67,3.65,NA,3.38,1.72,NA,6.26,8.01,80.05,244.28,86.62,20.36,1.79,NA,1.24,2.63,19.18,1.47,0.68,2.55,2.79,2.41,13.52,1.32,3.98
