"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"SM4389-36",-9.02175598090117,FALSE,28.3,10.57,2.87,42.35,3.34,NA,1.04,2.88,8.46,84.57,276.96,133.03,26.39,1.29,1.02,NA,2.22,11.57,1.87,0.61,2.8,3.03,3.19,6.47,1.01,4.19
"SM4853-1",-9.38284765959305,FALSE,28.33,8.42,2.55,42.19,3.7,5.3,1.05,2.3,6.19,61.86,271.64,111.72,21.27,1.37,1.02,1.21,2.31,6.05,2.28,0.57,2.92,2.72,3.79,5.55,1.04,4.02
"GM11935-3",-9.43443909673108,FALSE,26.12,15.56,3,NA,3.27,1.56,NA,4.26,7.41,74.12,250.3,97.79,24.71,1.33,NA,1.26,2.25,17.39,1.07,0.79,2.63,2.99,2.41,9.97,1.04,3.89
"AM1549-15",-9.47702448806804,FALSE,28.7,7.75,2.58,42.14,3.13,5.16,1.06,2.18,6.51,65.13,231.87,128.53,20.45,1.1,1.01,1.15,1.96,7.64,1.33,0.46,2.61,3,3.46,4.94,1.19,3.74
"ECU64",-9.49457613379649,FALSE,29.09,10.4,3.19,43.17,3.19,NA,1.22,2.9,7.95,79.48,253.54,106.44,23.22,1.85,1.02,NA,2.19,9.46,1.21,0.54,2.51,1.45,3.28,6.39,1.13,3.84
"COL144",-9.8420415085164,FALSE,28.98,11.63,3.41,43.67,1.62,NA,1.11,3.36,7.64,76.42,242.27,137.31,27.61,1.63,1.01,NA,2.35,8.78,1.95,0.47,2.91,3.02,3.59,7.52,1.06,3.83
"ECU41",-9.88417790557883,FALSE,27.94,13.2,3.31,44.99,0.67,1.86,1.41,3.88,7.22,72.22,227.81,164.46,28.25,1.9,1.01,1.17,2.09,12.44,2.25,0.79,2.82,1.03,3.14,8.61,1.05,3.59
"GM10026-1",-9.88430452036706,FALSE,26.85,15.19,3.26,41.68,3.87,NA,1.07,3.96,7.76,77.57,252.87,99.54,21.36,1.67,1.02,NA,2.36,15.87,1.32,1.18,2.88,3.03,2.94,9.48,1.12,4.1
"GM10054B-1",-10.1984142736051,FALSE,30.09,11.96,3.92,43.4,4.21,NA,1.06,3.87,6.54,65.41,258.12,56.79,28.88,2.54,1.08,NA,2.46,8.77,2.19,0.58,2.89,3.01,3.41,8.2,1.11,3.85
"AR37-103",-10.2542985316649,FALSE,30.3,9.6,3.59,NA,4.21,1.39,NA,3.05,3.7,36.96,249.24,80.31,21.87,1.58,NA,1.35,2.55,8,1.98,0.61,3.11,3,3.38,6.42,1.04,3.51
"SM4771-25",-10.3766594438265,FALSE,29.23,12.77,3.77,NA,2.99,2.46,NA,4.13,6.21,62.1,265.43,128.51,22.6,2.21,NA,1.2,2.31,12.94,1.36,0.55,2.4,2.64,2.84,8.26,1.02,3.78
"PAR68",-10.9006384068252,FALSE,25.64,16.29,3.14,NA,1.02,1.62,NA,3.76,8.34,83.39,227.29,155.47,22.22,1.55,NA,1.34,2.24,21.59,1.3,0.95,2.8,3.01,2.87,10.57,1.01,4.18
"GM10399-2",-10.9522513165674,FALSE,28.34,7.14,2.53,41.12,2.67,4.84,1.06,1.95,5.57,55.69,274.9,168.62,26.49,1.39,1.02,1.2,2.19,8.47,1.99,0.61,2.8,2.48,3.48,4.48,1.04,4.03
"GM11930-2",-10.9700939864023,FALSE,27.17,10.31,2.66,NA,2.56,1.13,NA,2.79,7.28,72.84,250.49,111.38,24.03,1.45,NA,1.12,2.35,10.64,1.73,0.85,2.77,2.99,2.98,6.78,1.28,3.97
"GM8956-1",-11.5227393033191,FALSE,25.47,14.31,2.81,NA,2.99,6.11,NA,3.98,6.83,68.33,240.67,87.64,19.64,1.82,NA,1.14,2.42,15.37,1.68,1.04,2.6,2.77,3.19,9.02,1.15,3.88
"SM4491-2",-12.3754695844228,FALSE,26.9,11.9,3.02,40,3.6,5.57,1.08,3.19,5.98,59.76,271.2,134.97,25.55,1.74,1.03,1.32,2.53,12.41,2.32,0.49,2.91,3.02,3.04,7.41,2.19,4.29
"AR17-23",-12.4125534480333,FALSE,27.15,14.03,3.49,NA,4.38,2.15,NA,4.23,7.7,76.99,246.89,55.06,23.76,1.2,NA,2.13,2.43,13.81,2.45,0.54,2.93,1.07,3.4,9.22,1.11,4.09
"GM1561-11",-12.7335865758611,FALSE,25.13,17.1,3.33,42.71,3.53,NA,1.07,4.02,8.73,87.27,259.35,109.48,24.73,1.72,1.03,NA,2.64,16.11,1.53,0.5,2.89,3.03,2.75,9.86,1.07,4.33
"GM3667-24",-12.7702392414259,FALSE,25.42,15.67,3.19,42.37,2.97,NA,1.06,4.06,7.3,73.05,234.62,98.09,25.48,1.6,1.02,NA,2.36,14.26,2.07,0.73,2.88,3.02,3.05,9.73,1.1,3.95
"SM4410-1",-13.0405436085584,FALSE,25.43,13.4,2.83,42.23,3.33,5.54,1.06,3.61,7.5,74.98,297.23,176.96,24.15,1.76,1.02,1.18,2.53,10.53,2.51,0.49,2.91,3.01,3.44,8.41,1.14,4.55
"SM4474-25",-13.0408645363987,FALSE,25.06,14.97,2.97,43.21,2.77,NA,1.06,3.91,5.72,57.22,239.13,109.6,23.77,1.65,1.15,NA,2.59,19,1.83,0.64,2.87,3.02,2.53,10.23,1.08,3.82
"SM4871-45",-13.2255463864646,FALSE,26.06,13.09,3.03,43.65,3.97,4.76,1.06,3.45,4.38,43.83,283.7,120.46,25.46,1.31,1.01,1.2,2.26,13.63,2.14,0.68,2.94,2.86,3.13,9.35,1.31,4.23
